판매처코드,판매처명
1306848,ヤマエ久野株式会社名古屋営業所食品課
1306919,全日本食品株式会社中国支社
1306922,コンフェックス株式会社札幌支店
1306940,株式会社久世
1306983,全日本食品株式会社九州支社
1307123,髙山　第三営業部
1307130,三井物産流通Ｇ（株）リテールユニットグローサリー事業本部
1307133,日本酒類販売（株）西日本本部福岡オフィス
1307139,尾家産業東京支社
1307140,尾家産業札幌営業所
1307143,東京シーフーズ
1307148,三菱食品株式会社フードサービス本部広域外食グループ
6050907,■株式会社ベスト電器
6154869,釜利谷米穀店
