대표슈퍼코드,대표슈퍼명,판매처코드,판매처명
6000816,■株式会社アスティ,1300028,加藤産業株式会社中四国支社広島支店
6000818,■株式会社いさみ屋,1300058,旭食品株式会社関東支店
6000819,■株式会社イマムラ,1301625,旭食品株式会社京都支店
6000822,■株式会社エイヴイ,1300056,旭食品株式会社首都圏支店
6000823,■株式会社エースワン,1300050,旭食品株式会社中四国支社高知支店
6000824,■株式会社エムジー,1301625,旭食品株式会社京都支店
6000827,■株式会社カスミ,1300168,国分関信越株式会社茨城支社
6000829,■株式会社かとりストアー,1301951,加藤産業株式会社九州支社長崎支店
6000831,■株式会社カメガヤ,1300056,旭食品株式会社首都圏支店
6000833,■株式会社きくや酒店,1301372,株式会社日本アクセス仙台支店
6000836,■株式会社キタムラ,1300056,旭食品株式会社首都圏支店
6000838,■株式会社きむら,1301615,旭食品株式会社中国支店
6000839,■株式会社キョーエイ,1301685,三菱食品（株）中四国支社四国支店営業ユニット
6000842,■株式会社キンブル,1300022,加藤産業株式会社中部支社名古屋支店
6000845,■株式会社ケイポートドラッグマート,1301336,ユアサ・フナショク株式会社松戸支店
6000846,■株式会社ココスナカムラ,1300058,旭食品株式会社関東支店
6000847,■株式会社ころくや,1300058,旭食品株式会社関東支店
6000851,■株式会社サカイヤ,1300004,加藤産業株式会社南関東支社湘南支店
6000853,■有限会社かまだ,1300053,旭食品株式会社大阪北支店
6000854,■株式会社サンアイ,1301421,国分北海道株式会社
6000856,■株式会社サンシャインチェーン本部,1300050,旭食品株式会社中四国支社高知支店
6000860,■株式会社サンマートサカイ,1301629,旭食品株式会社名古屋支店
6000862,■株式会社ジェイエイ越智今治,1300028,加藤産業株式会社中四国支社広島支店
6000863,■株式会社シュフカワカミ,1300029,今津株式会社
6000870,■株式会社スーパーキタムラ,1300056,旭食品株式会社首都圏支店
6000872,■株式会社スエヒロコーポレーション,1300052,旭食品株式会社大阪南支店
6000875,■株式会社ストックスーパーサンコー,1303189,ヤマエ久野株式会社大阪支店食品課
6000876,■株式会社スパーク,1301674,三菱食品株式会社中四国支社加食営業部
6000878,■株式会社ぜにや,1300170,国分中部株式会社伊勢支店
6000879,■株式会社セブン,1301610,旭食品株式会社徳島支店
