판매처코드,소매처코드
1300184,6152411
1300184,6003836
1300189,6154020
1300189,6041614
1300189,6041646
1300189,6003862
1300189,6041620
1300189,6000999
1300190,6041640
1300190,6041639
1300190,6041622
1300190,6019771
1300190,6041611
1300190,6041607
1300190,6152386
1300190,6070194
1300190,6143876
1300191,6196990
1300192,6047664
1300192,6041641
1300192,6047663
1300193,6152384
1300195,6152468
1300195,6016756
1300195,6022398
1300195,6152486
1300195,6018087
1300195,6033130
1300195,6023440
1300195,6152507
1300195,6152670
1300196,6152581
1300196,6154825
1300196,6154379
1300196,6022441
1300196,6154046
1300196,6022407
1300198,6154014
1300198,6154003
1300198,6154072
1300198,6154078
1300199,6152423
1300199,6154824
1300199,6154385
1300199,6154060
1300199,6001027
1300199,6022485
1300199,6152581
1300199,6003802
1300199,6147729
1300202,6152596
1300202,6152631
1300202,6152690
1300202,6152685
1300202,6153980
1300204,6047928
1300204,6152421
1300205,6152547
1300205,6164637
1300205,6152669
1300205,6163099
1300205,6035547
1300205,6047928
1300205,6003672
1300205,6154845
1300205,6003851
1300205,6055637
1300205,6153993
1300205,6152422
1300205,6022391
1300205,6066730
1300205,6152545
1300205,6154421
1300205,6154084
1300205,6154051
1300206,6040512
1300206,6163098
1300206,6164675
1300206,6152443
1300206,6154028
1300206,6154845
1300206,6047928
1300206,6154830
1300206,6154417
1300206,6152577
1300206,6153988
1300206,6164654
1300206,6152542
1300206,6035547
1300206,6152647
1300206,6152666
1300206,6152550
1300206,6154021
1300206,6153977
1300206,6033130
1300206,6153966
1300206,6152504
1300206,6154065
1300206,6152649
1300363,6152401
1300363,6047984
1300383,6154436
1300385,6152618
1300405,6152657
1300543,6158065
1300578,6093079
1300595,6164632
1300633,6152438
1300633,6152405
1300633,6152427
1300633,6152475
1300633,6154066
1300633,6022482
1300679,6152518
1300679,6003770
1300679,6152601
1300679,6152469
1300679,6023440
1300679,6152609
1300679,6033129
1300679,6154416
1300679,6152572
1300679,6152563
1300727,6013800
1300773,6149939
1300773,6041645
1300773,6019095
1300773,6000608
1300773,6022405
1300773,6000958
1300773,6050857
1300773,6164673
1300773,6152570
1300773,6152512
1300773,6196411
1300794,6050905
1300806,6154105
1300806,6164645
1300806,6049800
1300806,6140784
1300806,6003670
1300820,6017247
1300820,6154088
1300820,6154433
1300820,6013508
1300820,6140003
1300820,6152517
1300822,6160193
1300822,6152626
1300823,6160194
1300824,6152505
1300824,6025949
1300824,6154829
1300824,6000325
1300973,6022433
1300995,6152522
1300995,6154019
1300995,6152676
1300995,6152571
1300995,6152578
1300995,6152611
1300995,6154022
1300995,6152556
1301235,6160914
1301235,6052605
1301235,6018940
1301239,6125209
1301253,6047666
1301253,6049516
1301253,6047980
1301253,6049831
1301253,6016114
1301253,6041338
1301253,6055087
1301254,6018314
1301279,6033130
1301279,6025944
1301279,6016756
1301279,6000608
1301279,6017834
1301279,6152435
1301279,6016046
1301279,6033129
1301279,6056005
1301282,6152543
1301282,6016325
1301282,6152650
1301282,6152653
1301282,6152645
1301282,6033130
1301282,6003696
1301282,6152456
1301282,6003780
1301282,6152479
1301282,6055637
1301283,6152487
1301283,6154089
1301283,6152582
1301283,6164680
1301283,6163095
1301283,6154067
1301283,6154055
1301283,6022470
1301283,6154423
1301336,6000845
1301336,6016081
1301336,6000278
1301336,6003911
1301336,6000960
1301336,6000299
1301336,6070464
1301336,6152608
1301336,6033130
1301336,6019765
1301336,6162160
1301336,6000210
1301336,6034153
1301336,6126020
1301336,6035216
1301336,6000214
1301336,6000295
1301336,6164671
1301355,6047970
1301355,6022397
1301355,6034926
1301359,6020450
1301359,6070264
1301360,6025946
1301360,6000779
1301360,6022487
1301360,6056062
1301360,6121599
1301360,6154427
1301365,6164646
1301365,6152437
1301365,6022455
1301367,6035501
1301368,6054598
1301369,6035519
1301369,6035518
1301369,6144694
1301369,6127230
1301370,6160908
1301370,6033130
1301370,6047975
1301370,6003653
1301371,6047975
1301371,6000792
1301371,6022457
1301371,6066163
1301372,6035545
1301372,6000833
1301373,6000131
1301373,6160904
1301373,6022428
1301373,6035533
1301373,6000389
1301373,6013548
1301374,6164647
1301375,6022396
1301375,6017289
1301375,6022464
1301375,6003747
1301380,6003693
1301380,6000978
1301389,6152590
1301389,6154039
1301389,6152539
1301389,6152586
1301390,6035506
1301390,6164500
1301395,6014594
1301395,6019179
1301395,6000385
1301395,6014283
1301395,6084158
1301395,6154082
1301395,6034154
1301395,6000355
1301395,6197620
1301395,6000369
1301396,6021954
1301396,6014833
1301396,6000329
1301397,6018647
1301397,6000388
1301397,6052621
1301397,6000015
1301397,6000193
1301397,6152608
1301397,6000210
1301397,6033130
1301397,6013898
1301397,6040481
1301397,6035217
1301397,6125210
1301397,6003775
1301399,6054926
1301399,6070893
1301399,6051361
1301399,6003763
1301399,6001003
1301399,6022656
1301399,6160905
1301399,6033130
1301402,6144702
1301402,6022397
1301402,6022460
1301403,6022459
1301405,6022410
1301408,6022409
1301412,6040362
1301412,6041250
1301412,6039269
1301412,6033934
1301421,6164672
1301421,6154029
1301421,6152619
1301421,6154343
1301421,6161820
1301421,6152445
1301421,6034924
1301421,6162300
1301421,6154008
1301421,6154033
1301421,6154420
1301421,6017945
1301421,6152661
1301421,6022479
1301421,6019582
1301421,6152683
1301421,6160195
1301421,6152535
1301421,6164641
1301421,6000854
1301421,6154083
1301421,6164640
1301421,6152399
1301421,6152600
1301421,6155192
1301421,6022471
1301502,6162512
1301506,6158197
1301508,6035530
1301508,6122426
1301516,6003965
1301517,6035499
1301517,6001010
1301517,6035679
1301517,6019574
1301519,6019534
1301519,6021016
1301572,6041623
1301572,6019534
1301572,6144990
1301572,6164661
1301572,6152566
1301572,6144701
1301572,6163131
1301572,6024517
1301581,6154863
1301607,6055639
1301607,6003827
1301607,6003819
1301607,6032101
1301608,6152697
1301608,6003906
1301608,6003905
1301608,6003866
1301608,6152389
1301608,6122425
1301609,6019225
1301609,6001050
1301609,6000883
1301609,6016784
1301610,6003902
1301610,6000800
1301610,6020900
1301610,6000879
1301610,6001070
1301610,6020846
1301612,6013296
1301612,6001178
1301614,6157435
1301614,6000907
1301614,6013806
1301614,6000906
1301614,6000948
1301614,6001038
1301614,6164931
