소매처코드,소매처명
6003857,加藤産業株式会社南関東支社湘南支店
6003862,日田市民生活協同組合
6003862,コゲツ産業株式会社福岡支店
6003866,加藤産業株式会社東北支社秋田支店
6003866,紅屋商事株式会社
6003866,紅屋商事
6003868,マークスＨＤ（フレスコ）
6003868,フレスコ関東
6003868,フレスコ
6003869,マックスバリュ関東
6003869,マックスバリュ関東株式会社
6003869,加藤産業株式会社東関東支社千葉支店
6003870,マックスバリュ九州
6003870,マックスバリュ九州株式会社
6003871,マックスバリュ九州株式会社ＢＩＧ
6003871,マックスバリュ九州ＢＩＧ
6003872,三菱食品株式会社関西支社営業第二部
6003872,マックスバリュ西日本株式会社
6003872,マックスバリュ西日本
6003872,加藤産業株式会社西近畿支社神姫支店
6003872,加藤産業株式会社中四国支社四国支店
6003872,加藤産業株式会社中四国支社岡山支店
6003875,マックスバリュ中部
6003875,マックスバリュ中部株式会社
6003876,マックスバリュ長野
6003876,マックスバリュ長野株式会社
6003878,マックスバリュ南東北
6003878,マックスバリュ南東北株式会社
6003878,加藤産業株式会社東北支社仙台支店
6003880,マックスバリュ北海道
6003880,マックスバリュ北海道株式会社
6003884,マックスバリュ北陸株式会社
6003884,マックスバリュ北陸
6003884,加藤産業株式会社中部支社名古屋支店
6003887,丸高商事株式会社
6003887,丸高商事
6003889,加藤産業株式会社東北支社山形営業所
6003889,加藤産業株式会社東北支社仙台支店
6003889,加藤産業株式会社南関東支社南東京支店
6003889,加藤産業株式会社九州支社福岡支店
6003889,三菱食品株式会社ＣＶＳ本部中四国
6003889,ミニストップ株式会社
6003889,三菱食品株式会社ＣＶＳ本部中部
6003889,三菱食品株式会社ＣＶＳ本部東北
6003889,三菱食品株式会社ＣＶＳ本部
6003889,三菱食品株式会社ＣＶＳ本部関西
6003889,ミニストップ
6003894,加藤産業株式会社西近畿支社神姫支店
6003894,イセダ屋（兵庫／酒）
6003895,加藤産業株式会社中四国支社四国支店
6003895,有限会社入谷食品センター
6003901,加藤産業株式会社九州支社長崎支店
6003901,有限会社スーパーウエスト
6003902,有限会社住友商店
6003904,加藤産業株式会社九州支社長崎支店
6003904,有限会社つばき屋
6003905,国分東北株式会社秋田支店
6003905,有限会社トーエー
6003905,加藤産業株式会社東北支社秋田支店
6003906,加藤産業株式会社東北支社秋田支店
6003906,有限会社ドジャース商事
6003911,ユニバーサルドラッグ株式会社
6003911,加藤産業株式会社東関東支社足立支店
6003911,ユニバーサルドラッグ
6003915,三和
6003915,加藤産業株式会社南関東支社湘南支店
6003915,国分首都圏株式会社神奈川支社
6003915,三和＜千葉＞
6003924,加藤産業株式会社東北支社秋田支店
6003924,日敷
6003962,スーパーヤオスズ株式会社
6003962,スーパーヤオスズ
6003964,サークルワン
6003964,加藤産業株式会社中四国支社広島支店
6003965,有限会社ママノ店シバノ
6012755,国分九州株式会社
6012755,国分西日本株式会社近畿支社
6012755,国分関信越株式会社埼玉支店
6012755,コクミン
6012755,国分北海道株式会社
6012755,国分東北株式会社郡山支店
6012755,三菱食品株式会社中部支社営業部
6012758,ＡＮＣ関西株式会社スーパーサンエー
6012758,ＡＮＣ関西スーパーサンエー
6012770,マロード（京都／メッサ北野）
6012809,トライウェル
6012812,マックスバリュ東北株式会社ＢＩＧ
6012812,マックスバリュ東北ＢＩＧ
6012887,やまや
6012888,エイチジーシー
6012901,一号舘
6012901,三菱食品株式会社中部支社営業部
6012903,生活協同組合コープやまぐち
6012903,加藤産業株式会社九州支社福岡支店
6012907,西岡酒店
6012908,三ツ丸ストア
6012910,食品館空港
6012911,加藤産業株式会社北近畿支社北大阪支店
6012911,岩喜
6013251,藤徳物産株式会社岡山支店
6013251,ライフケアスポットタカハラ
6013253,博多ステイシヨンフード株式会社
6013253,博多ステーションフード株式会社
6013253,コゲツ産業株式会社福岡支店
6013253,博多ステーションフード
6013255,有限会社山科食品
6013255,山科食品
6013258,有限会社森山
6013258,三菱食品株式会社中部支社営業部
6013259,大橋商店
6013275,有限会社岡南
6013275,有限会社岡南ＳＣ事業部
6013288,マルイチ
6013288,有限会社マルイチ
6013296,有限会社ドラッグフジカワ
6013303,加藤産業株式会社中四国支社四国支店
6013303,香川県農業協同組合
6013508,三菱食品株式会社営業第二本部北関東支店
6013508,だいまる
6013510,マツサカ株式会社
6013510,加藤産業株式会社中四国支社岡山支店
6013510,マツサカ
6013512,希望の店
6013513,有限会社スーパーぬきさこ
6013516,丸正高木
6013516,丸正高木商店
6013517,麻生芳雄商事株式会社
6013517,麻生芳雄商事
6013522,スーパーもりかわ
6013523,瀬川食品
6013525,北辰商事
6013525,三井食品株式会社首都圏支社東京営業部営業第一室
6013525,北辰商事株式会社
6013527,玉城
6013527,国分中部株式会社伊勢支店
6013530,佐野屋
6013548,トウズ
6013550,ニシイチドラッグ
6013800,トップワン
6013801,有限会社スーパーウチヤマダ
6013806,有限会社リアル
6013806,加藤産業株式会社北近畿支社北大阪支店
6013807,クリシマ
6013894,加藤産業株式会社九州支社宮崎営業所
6013894,ショッピングのだ
6013898,マルイチ（宮崎）
6013963,ニューライフフジ
6013963,ＡＮＣ東海ニューライフフジ
6013963,ＡＮＣ東海株式会社ニューライフフジ
6013963,三菱食品株式会社中部支社営業部
6014009,よしや
6014024,三平
6014080,魚住商店
6014111,一富士フードサービス
6014111,一富士フードサービス株式会社
6014147,エフ・クライミング
6014147,加藤産業株式会社南関東支社南東京支店
6014150,コイズミ産業
6014150,国分首都圏株式会社
6014152,国分首都圏株式会社第二支社西東京支店
6014152,饒田
6014269,加藤産業株式会社九州支社福岡支店
6014269,丸喜
6014270,ハットリー
6014270,ハットリー・永野
6014271,有限会社二軒屋商店
6014273,有限会社中央ストアー黒木
6014274,海星ムサシ
6014283,ジャパンミート
6014283,国分関信越株式会社栃木支社
6014284,富士マート
6014284,国分首都圏株式会社山梨支社
6014315,加藤産業株式会社九州支社長崎支店
6014315,スーパーまるまつ
6014570,ビバ甲子園
6014587,神崎屋
6014587,加藤産業株式会社北近畿支社京都支店
6014594,スーパーみらべる
6014713,デハラ
6014713,加藤産業株式会社南近畿支社阪南支店
6014714,豊月
6014714,三井食品株式会社北海道支社食品営業部
6014714,加藤産業株式会社北海道支社札幌支店
6014754,和歌山県農業協同組合連合会
6014754,和歌山県農業協同組合
6014802,酒のカワサキグループ
6014803,伊藤忠食品株式会社中四国支店
6014803,ハローズ（大阪）
6014833,有限会社中村商事
6014848,有限会社菜佳
6014848,加藤産業株式会社南近畿支社阪南支店
6014876,加藤産業株式会社北近畿支社京都支店
6014876,元三フード株式会社
6014876,元三フード
6014887,サンフレッシュ
6014888,三菱食品株式会社ＣＶＳ本部中四国
6014888,三菱食品株式会社ＣＶＳ本部九州
6014888,三菱食品株式会社ＣＶＳ本部北海道
6014888,ローソン
6014888,三菱食品株式会社ＣＶＳ本部関西
6014888,三菱食品株式会社ＣＶＳ本部東北
6014888,三菱食品株式会社ＣＶＳ本部中部
6014888,三菱食品株式会社ＣＶＳ本部
6014888,三菱食品株式会社沖縄ユニット
6016046,本間物産販売株式会社
6016046,本間物産販売
6016047,スター株式会社
6016047,スター
6016081,三河屋コーポレーション
6016081,三河屋コーポレーション株式会社
6016108,コスギ
6016108,三菱食品株式会社中部支社営業部
6016114,国分九州株式会社鹿児島支店
6016114,Ａマートアブヤス
6016266,協同組合亀岡ショッピングセンター
6016267,ミワ商店
6016267,加藤産業株式会社中四国支社四国支店
6016297,ウエルマート
6016297,ウエルマート株式会社
6016298,アスタラビスタ
6016298,加藤産業株式会社九州支社長崎支店
6016325,マルダイ
6016386,マツモト
6016386,三菱食品株式会社関西支社営業第四部
6016412,生活協同組合コープさっぽろ
6016412,加藤産業株式会社北海道支社札幌支店
6016517,ストックニシノ
6016517,加藤産業株式会社北近畿支社北大阪支店
6016541,加藤産業株式会社北関東支社埼玉支店
6016541,マミーマート
6016542,鮮ど坂元
6016542,ショッピングセンター坂元
6016627,いせ屋
6016654,産直
6016671,マルコシ・シーガル・マルシェ・デ・キッチン
