소매처코드,소매처명
6003726,加藤産業株式会社南関東支社南東京支店
6003726,キシフォート
6003727,杏林堂薬局
6003727,加藤産業株式会社中部支社静岡営業所
6003728,くすりのコーエイ
6003728,加藤産業株式会社九州支社福岡支店
6003729,フレイン
6003729,熊本フレイン
6003730,加藤産業株式会社北関東支社埼玉支店
6003730,ケンゾー
6003731,業務用スーパー竹原店
6003731,国分西日本株式会社山陰支店
6003731,神戸物産西日本
6003731,神戸物産
6003737,サカガミグッドファーム
6003741,サンコー
6003743,三善
6003743,加藤産業株式会社中部支社静岡営業所
6003745,加藤産業株式会社東関東支社千葉支店
6003745,ジェーソン
6003746,加藤産業株式会社中部支社静岡営業所
6003746,シバタ
6003747,三菱食品株式会社営業第一本部第三グループ
6003747,島田屋
6003749,十字屋商店
6003753,加藤産業株式会社東北支社秋田支店
6003753,スーパー藤原
6003755,スーパーヨシムラ（卸値市場ヨシムラ＆ハッスル）
6003758,国分九州株式会社
6003758,ステーションフード
6003759,国分関信越株式会社埼玉支店
6003759,トモズ
6003759,加藤産業株式会社北関東支社多摩支店
6003760,国分関信越株式会社埼玉支店
6003760,セキ薬品
6003762,大黒流通チェーン
6003762,加藤産業株式会社北関東支社多摩支店
6003762,加藤産業株式会社南関東支社南東京支店
6003763,大地
6003766,加藤産業株式会社九州支社福岡支店
6003766,竹之下
6003770,たもり
6003771,加藤産業株式会社東北支社仙台支店
6003771,つかさ屋
6003772,加藤産業株式会社西近畿支社神姫支店
6003772,津名ショッピングセンター
6003774,加藤産業株式会社西近畿支社阪神支店
6003774,東神
6003775,トップマート
6003776,トミヤ
6003776,加藤産業株式会社南関東支社南東京支店
6003778,ＪＲ九州ドラッグイレブン
6003778,ＪＲ九州ドラッグイレブン株式会社
6003778,加藤産業株式会社九州支社福岡支店
6003778,加藤産業株式会社九州支社宮崎営業所
6003779,加藤産業株式会社北関東支社埼玉支店
6003779,とりせん
6003780,ナイス
6003780,加藤産業株式会社東北支社秋田支店
6003782,加藤産業株式会社西近畿支社神姫支店
6003782,ナガタ薬品
6003786,ヒバリヤ
6003786,加藤産業株式会社中部支社静岡営業所
6003788,加藤産業株式会社南関東支社湘南支店
6003788,加藤産業株式会社東関東支社足立支店
6003788,加藤産業株式会社西近畿支社阪神支店
6003788,加藤産業株式会社北関東支社多摩支店
6003788,加藤産業株式会社中四国支社広島支店
6003788,ファミリーマート
6003788,加藤産業株式会社東北支社仙台支店
6003788,加藤産業株式会社中四国支社岡山支店
6003788,加藤産業株式会社九州支社長崎支店
6003790,加藤産業株式会社中四国支社四国支店
6003790,三菱食品中四国支社四国支店愛媛ユニット
6003790,フジ
6003790,加藤産業株式会社中四国支社広島支店
6003790,加藤産業株式会社中四国支社岡山支店
6003791,ＴＨＤ関西不二商事株式会社
6003791,不二商事株式会社
6003791,不二商事
6003792,加藤産業株式会社中部支社静岡営業所
6003792,フルタヤ
6003793,文化堂
6003794,伊藤忠食品株式会社西日本営業部
6003794,三菱食品中部支社北陸支店営業Ｂユニット
6003794,平和堂
6003794,加藤産業株式会社北近畿支社京都支店
6003797,ベルク
6003799,加藤産業株式会社西近畿支社神姫支店
6003799,ホームセンターアグロ
6003802,まるいちフードセンター
6003802,まるいちフードセンター（福島）
6003807,マルニ
6003807,加藤産業株式会社東北支社仙台支店
6003808,マルハチ
6003808,加藤産業株式会社西近畿支社神姫支店
6003818,やまか
6003818,三菱食品株式会社営業第二本部神奈川エリアオフィス
6003819,加藤産業株式会社東北支社山形営業所
6003819,ヤマザワ
6003821,ユニカムドラッグ
6003823,加藤産業株式会社東関東支社足立支店
6003823,吉池
6003824,リカーマウンテン
6003825,加藤産業株式会社中四国支社岡山支店
6003825,レディ薬局
6003825,加藤産業株式会社中四国支社四国支店
6003825,加藤産業株式会社中四国支社広島支店
6003826,和光
6003827,加藤産業株式会社東関東支社千葉支店
6003827,ワタナベ
6003827,加藤産業株式会社南関東支社湘南支店
6003827,加藤産業株式会社中部支社静岡営業所
6003832,極東ファディ
6003832,極東ファディ株式会社
6003836,島屋株式会社
6003836,島屋
6003836,ジョイフルシマヤ
6003836,シマヤ
6003845,加藤産業株式会社中四国支社岡山支店
6003845,生活協同組合おかやまコープ
6003846,生活協同組合コープおきなわ
6003846,コープおきなわ
6003847,加藤産業株式会社中四国支社四国支店
6003847,生活協同組合コープかがわ
6003848,加藤産業株式会社中四国支社広島支店
6003848,稲田
6003851,加藤産業株式会社西近畿支社阪神支店
6003851,加藤産業株式会社中四国支社四国支店
6003851,加藤産業株式会社中四国支社広島支店
6003851,加藤産業株式会社九州支社宮崎営業所
6003851,加藤産業株式会社中四国支社岡山支店
6003851,ダイレックス株式会社
6003851,加藤産業株式会社北関東支社新潟支店
6003851,ダイレックス
6003851,加藤産業株式会社九州支社福岡支店
6003851,加藤産業株式会社北関東支社埼玉支店
6003854,加藤産業株式会社中部支社静岡営業所
6003854,たつみストアー株式会社
6003854,たつみストアー
6003857,ナガヤ
6003857,ナガヤ株式会社
